Cód;ME;DiCo;DiCoFre;LATITUDE;LONGITUDE
HU0130;HU40M;1824;182411;40.674231;-8.098137
HU0131;HU41D;1824;182403;40.682975;-8.232218
HU0132;HU41G;1824;;;
HU0133;HU41H;1824;182411;;
HU0134;HU41O;1824;182411;40.68739;-8.107168
HU0135;HU41Z;1824;182413;40.658854;-8.166946
HU0136;HU42C;1824;;;
HU0137;HU42P;1824;;;
HU0138;HU43C;1824;182401;40.627081;-8.17256
HU0139;HU43D;1824;;;
HU0140;HU43S;1824;182401;40.61964;-8.213219
HU0141;HU44A;1824;182401;40.640569;-8.18466
HU0142;HU44E;1824;182413;40.68323;-8.160731
HU0143;HU44M;1824;182411;40.68299;-8.101677
HU0144;HU44P;1824;182401;40.6307;-8.190693
HU0145;HU44V;1824;182411;40.68727;-8.109141
HU0146;HU44Z;1824;182411;40.706526;-8.107584
HU0147;HU45C;1824;182401;40.62761;-8.186143
HU0148;HU46A;1824;182401;40.637335;-8.186839
HU0149;HU46D;1824;182403;40.68057;-8.234221
HU0150;HU46E;1824;182413;40.68649;-8.162532
HU0151;HU47C;1824;182401;40.62263;-8.179625
HU0152;HU47E;1824;182413;40.68827;-8.162451
HU0153;HU47J;1824;;;
HU0154;HU47M;1824;182411;40.67382;-8.102491
HU0155;HU47Y;1824;;;
HU0156;HU48E;1824;182413;40.688034;-8.16145
HU0157;HU48F;1824;182413;40.68548;-8.145826
HU0158;HU48H;1824;182411;40.696979;-8.101351
HU0159;HU48Z;1824;182409;40.684716;-8.043156
HU0160;HU49A;1824;;;
HU0161;HU49E;1824;182413;40.687463;-8.164376
HU0162;HU49J;1824;182411;;
HU0163;HU4AC;1824;182413;40.687719;-8.183126
HU0164;HU4AH;1824;182409;40.70675;-8.059361
HU0165;HU4AK;1824;182413;40.68498;-8.180061
HU0166;HU50C;1824;182401;40.62235;-8.17995
HU0167;HU50I;1824;182409;40.7093;-8.054399
HU0168;HU50T;1824;182410;40.743418;-8.027945
HU0169;HU50V;1824;182415;40.714485;-8.128048
HU0170;HU51A;1824;182401;40.639405;-8.183816
HU0171;HU51B;1824;182403;40.644137;-8.261345
HU0172;HU51D;1824;182414;40.729976;-8.076628
HU0173;HU51O;1824;;;
HU0174;HU51S;1824;182413;40.67007;-8.155445
HU0175;HU51U;1824;182403;40.66959;-8.205904
HU0176;HU52B;1824;;;
HU0177;HU52C;1824;;;
HU0178;HU52R;1824;182409;40.69008;-8.058093
HU0179;HU53E;1824;182413;40.691662;-8.156583
HU0180;HU53K;1824;182413;40.687493;-8.183066
HU0181;HU53S;1824;182413;40.65554;-8.153368
HU0182;HU53U;1824;182411;40.69821;-8.086548
HU0183;HU54I;1824;182409;;
HU0184;HU54N;1824;;;
HU0185;HU54S;1824;;;
HU0186;HU54V;1824;182411;40.711185;-8.109077
HU0187;HU55D;1824;182403;40.68832;-8.235548
HU0188;HU55M;1824;182411;40.68702;-8.112072
HU0189;HU55Q;1824;182409;40.69846;-8.047561
HU0190;HU55S;1824;182413;40.6676;-8.148189
HU0191;HU55T;1824;182410;40.7231;-8.032257
HU0192;HU56B;1824;;;
HU0193;HU56J;1824;;;
HU0194;HU57D;1824;182403;40.689519;-8.234348
HU0195;HU57F;1824;;;
HU0196;HU58A;1824;182401;40.63259;-8.194987
HU0197;HU58E;1824;;;
HU0198;HU58F;1824;182413;40.66668;-8.174473
HU0199;HU58S;1824;182415;40.718436;-8.104759
HU0200;HU59I;1824;182409;40.70502;-8.055992
HU0201;HU5AD;1824;182403;40.65151;-8.210747
HU0202;HU5AH;1824;182409;40.719204;-8.045455
HU0203;HU5AK;1824;182403;40.67847;-8.228583
HU0204;HU60B;1824;;;
HU0205;HU61C;1824;;;
HU0206;HU61D;1824;182403;40.67932;-8.236109
HU0207;HU61F;1824;182413;40.669015;-8.178219
HU0208;HU61L;1824;182409;40.710255;-8.055088
HU0209;HU61P;1824;182401;40.614064;-8.194789
HU0210;HU62F;1824;182413;40.66897;-8.170114
HU0211;HU62G;1824;;;
HU0212;HU62R;1824;182415;40.720301;-8.104268
HU0213;HU63O;1824;182413;40.681521;-8.148462
HU0214;HU63Q;1824;;;
HU0215;HU63V;1824;182411;40.691006;-8.077078
HU0216;HU64C;1824;182403;40.677933;-8.202925
HU0217;HU64H;1824;182403;40.63792;-8.242837
HU0218;HU64I;1824;182403;40.641397;-8.225561
HU0219;HU65B;1824;182403;40.63568;-8.243789
HU0220;HU65C;1824;182403;40.67859;-8.204768
HU0221;HU65H;1824;182403;40.69468;-8.235336
HU0222;HU65Q;1824;182411;;
HU0223;HU66E;1824;;;
HU0224;HU66J;1824;182414;40.727525;-8.070984
HU0225;HU66Q;1824;182411;40.707394;-8.091295
HU0226;HU67B;1824;182403;40.638036;-8.236365
HU0227;HU67C;1824;;;
HU0228;HU69E;1824;;;
HU0229;HU69L;1824;182403;40.637494;-8.239523
HU0230;HU69V;1824;182401;40.65689;-8.189193
HU0231;HU6AE;1824;182401;40.64696;-8.185422
HU0232;HU6AM;1824;182415;40.706502;-8.129907
HU0233;HU70A;1824;182401;40.626136;-8.191917
HU0234;HU70G;1824;;;
HU0235;HU70S;1824;182409;;
HU0236;HU71P;1824;182413;40.66619;-8.171762
HU0237;HU72E;1824;;;
HU0238;HU72I;1824;182409;40.687606;-8.041661
HU0239;HU72J;1824;182409;40.686438;-8.042036
HU0240;HU72O;1824;182413;40.662956;-8.16467
HU0241;HU73C;1824;182403;40.680777;-8.20375
HU0242;HU73E;1824;182415;40.71922;-8.135804
HU0243;HU73P;1824;182413;40.66723;-8.173707
HU0244;HU74I;1824;182409;40.68798;-8.041536
HU0245;HU74S;1824;182414;40.724188;-8.081438
HU0246;HU75A;1824;;;
HU0247;HU76D;1824;;;
HU0248;HU76P;1824;182413;40.669628;-8.170143
HU0249;HU76Q;1824;;;
HU0250;HU77B;1824;182413;40.688163;-8.147948
HU0251;HU78G;1824;;;
HU0252;HU79C;1824;182403;40.66803;-8.218541
HU0253;HU79Q;1824;;;
HU0254;HU7AB;1824;182414;40.733337;-8.071794
HU0255;HU7AE;1824;182415;40.691795;-8.14163
HU0256;HU7AM;1824;182411;40.70319;-8.100004
HU0257;HU7AN;1824;182401;40.65024;-8.188642
HU0258;HU80L;1824;182414;40.732714;-8.070672
HU0259;HU80U;1824;182414;40.71877;-8.072006
HU0260;HU81B;1824;182403;40.633839;-8.244343
HU0261;HU81W;1824;182415;40.71412;-8.13233
HU0262;HU82B;1824;182403;40.650788;-8.209335
HU0263;HU83C;1824;182403;40.696253;-8.225989
HU0264;HU83F;1824;;;
HU0265;HU84P;1824;182415;40.711408;-8.141967
HU0266;HU84S;1824;182407;40.64084;-8.095755
HU0267;HU85F;1824;182413;40.672647;-8.158522
HU0268;HU85I;1824;182409;40.694866;-8.045489
HU0269;HU85P;1824;182413;;
HU0270;HU85V;1824;182401;40.628621;-8.18911
HU0271;HU86B;1824;;;
HU0272;HU86O;1824;182411;40.688961;-8.106403
HU0273;HU86V;1824;;;
HU0274;HU87B;1824;182403;40.64385;-8.23002
HU0275;HU87E;1824;182415;40.71226;-8.126173
HU0276;HU87G;1824;;;
HU0277;HU87H;1824;182410;40.71576;-8.020506
HU0278;HU87I;1824;;;
HU0279;HU87O;1824;182411;40.672729;-8.1
