;MUNDO: Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg ;kg 
Produtos minerais;1292425718;1010590591;1163615591;1305193383;1368215446;1104187596;1317803199;1337631459;1223441610;1254318456;1189505809;1247085069;1234208126;1208561103;1298935519;1079677423;1075794946;1334925572;1302915727;1244536313;1157464931;1287200344;992829460;1072221113;1338162272;1360874471;1284013897;1250577700;1146389383;1388153500;1465784094;1421032665;1530997538;1355151091;1135096811;1397715515;1352887381;1213571735;1325472565;1101060684;1235615130;1372174584;1476265983;1153719847;1131448773;1061384978;913672889;1176889646;1002835524;1242033225;1212232784;1142529955;1393630516;1160210893;1330175483;1303741490;1342557678;1194311762;940999249;890725624
Produtos das indústrias químicas ou das indústrias conexas;135800790;166805539;158919030;160409025;159099202;182019231;143183217;156016258;141408038;170879193;159838592;159812641;149548300;162697634;155992967;151397413;147820065;156605610;151525746;142900321;144568408;165653564;146477784;120661167;160060427;181451269;152341962;161814663;122530658;180206547;173252752;147272522;138268364;178104415;151417268;143710730;119751285;139390956;170388234;160964802;144425259;149967449;157701747;161478722;166173367;185099433;157593773;172706438;173478029;174668048;166371678;195381771;151821030;220786748;170491967;203366110;186996719;154452740;158672991;180688373
Plástico e suas obras -  borracha e suas obras;114788225;160563667;163844160;152005232;127269053;157911760;160605716;164846630;137537731;166732595;140713800;146384793;128972772;147108614;144576884;154102221;120259670;147561329;145940938;140528958;147090684;149885310;142501274;126658955;97680376;138176576;145996176;143245838;100773194;145303344;139593639;131578043;134496291;145943354;129806941;112338868;93976261;117672890;143684034;135157706;99389404;140735336;123518307;131082026;127611835;131233786;123628337;115071120;95036027;123632243;123214478;119818732;95202465;134794745;117898592;135606416;115167413;108359830;107198081;120912147
Peles, couros, peles com pelo e obras destas matérias -  artigos de correeiro ou de seleiro -  artigos de viagem, bolsas e artefactos semelhantes -  obras de tripa;3503541;3666157;2331765;2603731;1692160;2342569;2764966;2525027;2409102;2114941;2996289;3094493;3088521;2110613;2230874;3119972;2382036;2949112;2123124;2007078;2220185;1985970;2045653;2056599;1992422;2257401;2806564;2657659;2200952;2262167;2232621;2122912;2424595;2469597;2181956;2192830;2667778;2647957;2915730;2208594;1594755;2824207;2111108;2513556;2071812;2192660;2361521;2953150;2673405;2584030;2686806;1971146;2015145;2462194;1978074;2468757;2479033;2085364;2467087;2242755
Madeira, carvão vegetal e obras de madeira -  cortiça e suas obras -  obras de espartaria ou de cestaria;157902371;170572576;182329802;167149782;112761036;180277310;173762035;203281111;159215766;200648524;164010636;156554962;197862616;187131686;174205542;156078230;112871911;152065344;173965790;185335204;192118766;200021302;194909438;167543620;195072582;190456480;207823304;209639666;140359347;235092748;188679265;212546117;225937076;269704986;213541287;193401601;219693304;242738525;284807857;254016897;202699198;306137733;297605844;345420413;317314583;317482267;270707915;290572557;290319104;338585674;369525472;328479916;280539361;298405529;270455204;323933311;327902501;274619492;291850959;269819709
Pastas de madeira ou de outras matérias fibrosas celulósicas -  papel ou cartão para reciclar (desperdicios e resíduos) -  papel e suas obras;313822721;330663062;295216993;309584465;319122063;310811092;316045609;351332596;288149551;359647472;306760670;302280180;358093538;322374755;324158592;346958352;324205868;310328454;323770977;297393021;297267611;321144736;301751812;306429091;314269159;323683805;313704648;320923418;310414256;307953339;316207097;295112319;285802881;302590864;295489754;271949021;326207906;290541169;305110998;325736620;303453192;313298252;297881711;301668242;291712311;285984868;273278094;302453665;295324307;303921872;285263301;302873666;319729735;306829748;280098728;334648399;301072132;290261545;275888698;308050479
Matérias têxteis e suas obras;33339806;45441004;44484230;38928341;29685331;43172147;46485469;48549145;44753021;55771195;41914032;42525313;33475219;39785568;37180126;38298399;30173694;46092731;45118242;45265140;45744787;46162896;41670046;39045366;35311216;40439778;42851847;36704652;27037855;46671444;45250642;42534188;46870610;44979416;38589500;38703996;32190529;35518089;41067526;36180079;27133949;45446593;43539833;47367529;42786177;44212022;41220643;42889830;33005274;38868258;38751672;34627411;29796056;44344872;39619558;43550115;40225747;39830791;35631734;39624509
Calçado, chapéus e artefactos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes -  penas preparadas e suas obras -  flores artificiais -  obras de cabelo;4961099;6105528;6245570;6354660;6840694;8884976;7662067;5487001;4497460;7345828;7006250;7072973;5390185;5983599;5773991;6529478;6914041;9395485;6786525;5076133;5147767;6163835;6709987;6368041;5158698;5501424;6258838;5593380;5838890;9775175;6643161;5176750;5055751;6224574;6796757;7085965;5082250;5571071;6955455;6317233;6307410;10146237;7553398;5688369;4923140;5774906;7287142;7712116;5244005;5834464;5974130;5700018;6347765;8282773;5988530;5107969;4146870;5466995;5912545;6557782
Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes -  produtos cerâmicos -  vidro e suas obras;232592523;300114384;297455152;291453117;244882769;311018079;325442245;326690513;301225673;345148054;238088787;255665091;215649367;277005225;254306403;275725405;249648579;289466128;319831342;302263442;280576823;293655412;265064575;225890453;217587290;247056472;266982400;252240620;235776297;317941049;313692647;287670836;314690404;291894941;234333537;216321427;206727031;235624448;291761348;254047139;223834152;293648282;290486542;332277522;306710821;264728937;251276664;235519516;206727888;237986451;259551438;248036748;240835512;301028146;272368134;308690841;280631792;250500928;217875808;230877413
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos, e suas obras -  bijutaria -  moedas;77510;150144;41513;70989;70733;67636;53022;56488;89541;150923;107664;84508;41143;78602;51815;51508;32038;58059;45346;56947;38644;46127;63692;34480;71891;82280;78478;62614;54683;85695;46308;33241;70860;46171;47128;43462;106486;61861;106870;128034;72308;129913;90869;80100;61670;173961;59120;54404;55676;71321;43860;94956;60216;42641;77615;61861;67365;69881;67175;59077
